heuristic,network,ctg_id,trace,trace_probability,num_tasks_ctg,num_tasks_trace,ctg_overlapping_makespan,trace_ctg_makespan,trace_standalone_makespan,trace_gap,trace_ratio_standalone_over_ctg
CPOP,2node_homo,6,Trace: 3-17-16-13-24,0.033037,32,19,7.1128,7.1207,6.8457,0.275,0.9614
CPOP,2node_homo,6,Trace: 3-17-16-13-23,0.066887,32,19,7.1128,7.0568,6.7305,0.3263,0.9538
CPOP,2node_homo,6,Trace: 3-17-16-14-30-24,0.00215,32,18,7.1128,6.2847,5.9011,0.3836,0.939
CPOP,2node_homo,6,Trace: 3-17-16-14-30-23,0.004354,32,18,7.1128,6.3616,6.13,0.2317,0.9636
CPOP,2node_homo,6,Trace: 3-17-16-14-29-24,0.015173,32,18,7.1128,6.2847,5.861,0.4237,0.9326
CPOP,2node_homo,6,Trace: 3-17-16-14-29-23,0.030719,32,18,7.1128,6.3616,6.0899,0.2718,0.9573
CPOP,2node_homo,6,Trace: 3-18-15-13-24,0.068286,32,19,7.1128,7.633,7.2355,0.3975,0.9479
CPOP,2node_homo,6,Trace: 3-18-15-13-23,0.138256,32,19,7.1128,7.0741,6.6544,0.4197,0.9407
CPOP,2node_homo,6,Trace: 3-18-15-14-30-24,0.004445,32,18,7.1128,6.5863,6.028,0.5583,0.9152
CPOP,2node_homo,6,Trace: 3-18-15-14-30-23,0.008999,32,18,7.1128,6.2144,5.9532,0.2611,0.958
CPOP,2node_homo,6,Trace: 3-18-15-14-29-24,0.031362,32,18,7.1128,6.5157,6.028,0.4877,0.9252
CPOP,2node_homo,6,Trace: 3-18-15-14-29-23,0.063496,32,18,7.1128,6.2144,6.189,0.0254,0.9959
CPOP,2node_homo,6,Trace: 3-18-16-13-24,0.080571,32,19,7.1128,7.1207,7.1128,0.0079,0.9989
CPOP,2node_homo,6,Trace: 3-18-16-13-23,0.163128,32,19,7.1128,7.0085,6.6968,0.3118,0.9555
CPOP,2node_homo,6,Trace: 3-18-16-14-30-24,0.005244,32,18,7.1128,6.2847,5.2482,1.0365,0.8351
CPOP,2node_homo,6,Trace: 3-18-16-14-30-23,0.010618,32,18,7.1128,6.2144,5.7603,0.454,0.9269
CPOP,2node_homo,6,Trace: 3-18-16-14-29-24,0.037003,32,18,7.1128,6.2847,5.6104,0.6743,0.8927
CPOP,2node_homo,6,Trace: 3-18-16-14-29-23,0.074919,32,18,7.1128,6.2144,5.7202,0.4941,0.9205
CPOP,2node_homo,6,Trace: 4-13-24,0.006997,32,21,7.1128,6.7974,6.4224,0.375,0.9448
CPOP,2node_homo,6,Trace: 4-13-23,0.014166,32,21,7.1128,7.0189,6.3026,0.7163,0.8979
CPOP,2node_homo,6,Trace: 4-14-30-24,0.000455,32,20,7.1128,5.8711,5.3053,0.5658,0.9036
CPOP,2node_homo,6,Trace: 4-14-30-23,0.000922,32,20,7.1128,6.3238,5.1864,1.1374,0.8201
CPOP,2node_homo,6,Trace: 4-14-29-24,0.003213,32,20,7.1128,5.8711,5.3053,0.5658,0.9036
CPOP,2node_homo,6,Trace: 4-14-29-23,0.006506,32,20,7.1128,6.3238,5.1864,1.1374,0.8201
CPOP,2node_homo,7,Trace: 1-3,0.005154,8,4,2.5355,2.5355,2.5355,0.0,1.0
CPOP,2node_homo,7,Trace: 1-4,0.007584,8,4,2.5355,2.0965,2.0965,0.0,1.0
CPOP,2node_homo,7,Trace: 2-6,0.618336,8,4,2.5355,2.244,2.244,0.0,1.0
CPOP,2node_homo,7,Trace: 2-5,0.368926,8,4,2.5355,2.1961,2.1961,0.0,1.0
CPOP,2node_homo,8,Trace: 3,0.299753,8,7,2.3141,2.3141,2.3141,0.0,1.0
CPOP,2node_homo,8,Trace: 4,0.700247,8,7,2.3141,2.3141,2.2589,0.0552,0.9761
