experiment_num,scheduler_name,mode,n,duplicated_tasks,makespan
7,cpop,top-n,5,"0,6,5,1,4",4.07869911027287
7,cpop,bottom-n,0,,4.204740042844469
7,cpop,bottom-n,1,7,4.370021842184043
7,cpop,bottom-n,2,"7,3",4.977791883138463
7,cpop,bottom-n,3,"7,3,2",4.509885942542908
7,cpop,bottom-n,4,"7,3,2,4",4.509885942542908
7,cpop,bottom-n,5,"7,3,2,4,1",4.779496228225241
8,heft,top-n,0,,4.811663099815604
8,heft,top-n,1,0,5.051575196538402
8,heft,top-n,2,"0,2",4.765627718830023
8,heft,top-n,3,"0,2,3",5.115054317839153
8,heft,top-n,4,"0,2,3,5",5.115054317839153
8,heft,top-n,5,"0,2,3,5,1",5.2309129345791625
8,heft,bottom-n,0,,4.811663099815604
8,heft,bottom-n,1,7,4.850330000972656
8,heft,bottom-n,2,"7,4",5.20371509451112
8,heft,bottom-n,3,"7,4,6",5.4615588106241315
8,heft,bottom-n,4,"7,4,6,1",5.633025716564456
8,heft,bottom-n,5,"7,4,6,1,5",5.633025716564456
8,cpop,top-n,0,,4.811663099815604
8,cpop,top-n,1,0,4.811663099815604
8,cpop,top-n,2,"0,2",4.811663099815604
8,cpop,top-n,3,"0,2,3",4.811663099815604
8,cpop,top-n,4,"0,2,3,5",4.811663099815604
8,cpop,top-n,5,"0,2,3,5,1",4.939096308574029
8,cpop,bottom-n,0,,4.811663099815604
8,cpop,bottom-n,1,7,4.850330000972656
8,cpop,bottom-n,2,"7,4",5.20371509451112
8,cpop,bottom-n,3,"7,4,6",5.4615588106241315
8,cpop,bottom-n,4,"7,4,6,1",5.50378814282867
8,cpop,bottom-n,5,"7,4,6,1,5",5.50378814282867
9,heft,top-n,0,,5.46520792367885
9,heft,top-n,1,0,5.161750530416075
9,heft,top-n,2,"0,4",5.0384627491602565
9,heft,top-n,3,"0,4,2",5.464180789498694
9,heft,top-n,4,"0,4,2,6",5.803672430785478
9,heft,top-n,5,"0,4,2,6,1",5.789688513833838
9,heft,bottom-n,0,,5.46520792367885
9,heft,bottom-n,1,7,6.306915149825084
9,heft,bottom-n,2,"7,3",6.306915149825084
9,heft,bottom-n,3,"7,3,5",6.435399289508717
9,heft,bottom-n,4,"7,3,5,1",6.435399289508717
9,heft,bottom-n,5,"7,3,5,1,6",6.652320497067718
9,cpop,top-n,0,,5.46520792367885
9,cpop,top-n,1,0,5.46520792367885
9,cpop,top-n,2,"0,4",5.464180789498694
9,cpop,top-n,3,"0,4,2",5.96865696013714
9,cpop,top-n,4,"0,4,2,6",5.803672430785478
9,cpop,top-n,5,"0,4,2,6,1",5.931791898520175
9,cpop,bottom-n,0,,5.46520792367885
9,cpop,bottom-n,1,7,6.962907232589729
9,cpop,bottom-n,2,"7,3",6.962907232589729
9,cpop,bottom-n,3,"7,3,5",6.962907232589729
9,cpop,bottom-n,4,"7,3,5,1",6.962907232589729
9,cpop,bottom-n,5,"7,3,5,1,6",6.6796196006778
10,heft,top-n,0,,3.673863907071208
10,heft,top-n,1,0,3.2085495539402324
10,heft,top-n,2,"0,5",3.2085495539402324
