scheduler_name,recipe,workflow_instance,ccr,num_processors,mode,n,task_name,task_score,duplicated_tasks,target_benefit,num_target_processors,dup_factor,makespan,baseline_makespan,makespan_ratio,num_tasks,avg_task_cost,avg_edge_size,task_cost,incoming_comm,outgoing_comm,in_out_ratio,out_in_ratio,num_children,num_parents
cpop,seismology,0,5.0,16,bottom-n,3,sG1IterDecon_00000821,0.637768413764596,"sG1IterDecon_00000793,sG1IterDecon_00000263,sG1IterDecon_00000821",0.07958204135461244,1,2,117.24863573619253,117.24863573619253,1.0,861,2.106842044134727,0.011885287209302325,1.38,0.0,0.001701,0.0,inf,1,0
heft,seismology,0,10.0,4,top-n,1,sG1IterDecon_00000182,0.9855117763726302,sG1IterDecon_00000182,3.172073621352297,1,2,176.85585237191205,176.63011945943913,1.0012779978475006,303,2.138597359735974,0.011434149006622516,0.561,0.0,0.003536,0.0,inf,1,0
heft,seismology,0,10.0,4,top-n,2,sG1IterDecon_00000144,0.9782982529134432,"sG1IterDecon_00000182,sG1IterDecon_00000144",3.530223814884721,1,2,176.7668237329044,176.63011945943913,1.0007739578837611,303,2.138597359735974,0.011434149006622516,0.561,0.0,0.002194,0.0,inf,1,0
heft,seismology,0,10.0,4,top-n,3,sG1IterDecon_00000238,0.9800726116085179,"sG1IterDecon_00000182,sG1IterDecon_00000144,sG1IterDecon_00000238",2.842161923861454,1,2,176.94090725924457,176.63011945943913,1.0017595402231316,303,2.138597359735974,0.011434149006622516,0.561,0.0,0.002434,0.0,inf,1,0
heft,seismology,0,10.0,4,bottom-n,1,sG1IterDecon_00000055,0.7039693491285022,sG1IterDecon_00000055,0.4695240078957852,1,2,177.36174466910978,176.63011945943913,1.004142131658574,303,2.138597359735974,0.011434149006622516,1.61,0.0,0.002784,0.0,inf,1,0
heft,seismology,0,10.0,4,bottom-n,2,sG1IterDecon_00000172,0.8566996755093389,"sG1IterDecon_00000055,sG1IterDecon_00000172",2.20312641962434,1,2,177.57272123934925,176.63011945943913,1.0053365857578247,303,2.138597359735974,0.011434149006622516,1.284,0.0,0.002534,0.0,inf,1,0
heft,seismology,0,10.0,4,bottom-n,3,sG1IterDecon_00000268,0.8705454309747256,"sG1IterDecon_00000055,sG1IterDecon_00000172,sG1IterDecon_00000268",2.391389811400302,1,2,177.57272123934925,176.63011945943913,1.0053365857578247,303,2.138597359735974,0.011434149006622516,0.999,0.0,0.001701,0.0,inf,1,0
cpop,seismology,0,10.0,4,top-n,1,sG1IterDecon_00000116,0.989186474416845,sG1IterDecon_00000116,5.232491883688141,1,2,179.03368116417587,179.05439189174214,0.9998843327586246,303,2.138597359735974,0.011434149006622516,0.561,0.0,0.004908,0.0,inf,1,0
cpop,seismology,0,10.0,4,top-n,2,sG1IterDecon_00000123,0.9721693720646056,"sG1IterDecon_00000116,sG1IterDecon_00000123",5.233155704392317,1,2,179.09118648377213,179.05439189174214,1.0002054939375753,303,2.138597359735974,0.011434149006622516,0.561,0.0,0.004987,0.0,inf,1,0
cpop,seismology,0,10.0,4,top-n,3,sG1IterDecon_00000265,0.9880290792907176,"sG1IterDecon_00000116,sG1IterDecon_00000123,sG1IterDecon_00000265",5.386223840282128,1,2,178.7466522496225,179.05439189174214,0.9982813063736203,303,2.138597359735974,0.011434149006622516,0.561,0.0,0.004385,0.0,inf,1,0
cpop,seismology,0,10.0,4,bottom-n,1,sG1IterDecon_00000180,0.6685169401531854,sG1IterDecon_00000180,0.10453230860733242,1,2,179.30942450833786,179.05439189174214,1.0014243304165915,303,2.138597359735974,0.011434149006622516,0.561,0.0,0.007664,0.0,inf,1,0
cpop,seismology,0,10.0,4,bottom-n,2,sG1IterDecon_00000245,0.6732015647519303,"sG1IterDecon_00000180,sG1IterDecon_00000245",0.16847080884983257,1,2,179.27946252657316,179.05439189174214,1.0012569958907631,303,2.138597359735974,0.011434149006622516,0.561,0.0,0.007778,0.0,inf,1,0
cpop,seismology,0,10.0,4,bottom-n,3,sG1IterDecon_00000090,0.7003450488864382,"sG1IterDecon_00000180,sG1IterDecon_00000245,sG1IterDecon_00000090",0.6018799201315517,1,2,179.56216291837757,179.05439189174214,1.0028358479301778,303,2.138597359735974,0.011434149006622516,0.561,0.0,0.007662,0.0,inf,1,0
heft,seismology,0,10.0,8,top-n,1,sG1IterDecon_00000240,0.9706712672714676,sG1IterDecon_00000240,2.901614743752532,1,2,293.5615595559342,293.57644691932785,0.9999492896533428,1113,2.124207547169812,0.011916174460431654,0.561,0.0,0.001701,0.0,inf,1,0
heft,seismology,0,10.0,8,top-n,2,sG1IterDecon_00000980,0.9706712672714676,"sG1IterDecon_00000240,sG1IterDecon_00000980",2.518617605963186,1,2,293.3672250370841,293.57644691932785,0.999287334238018,1113,2.124207547169812,0.011916174460431654,0.561,0.0,0.001701,0.0,inf,1,0
heft,seismology,0,10.0,8,top-n,3,sG1IterDecon_00000629,0.9706712672714676,"sG1IterDecon_00000240,sG1IterDecon_00000980,sG1IterDecon_00000629",1.9561733127173966,1,2,293.3051514182993,293.57644691932785,0.9990758948686946,1113,2.124207547169812,0.011916174460431654,0.561,0.0,0.001701,0.0,inf,1,0
heft,seismology,0,10.0,8,bottom-n,1,sG1IterDecon_00000197,0.6705171021326324,sG1IterDecon_00000197,0.11728119725057695,1,2,293.5615595559342,293.57644691932785,0.9999492896533428,1113,2.124207547169812,0.011916174460431654,0.561,0.0,0.003468,0.0,inf,1,0
heft,seismology,0,10.0,8,bottom-n,2,sG1IterDecon_00000007,0.6777812799827443,"sG1IterDecon_00000197,sG1IterDecon_00000007",0.17383432615804395,1,2,293.71955413971466,293.57644691932785,1.000487461517736,1113,2.124207547169812,0.011916174460431654,0.561,0.0,0.003389,0.0,inf,1,0
heft,seismology,0,10.0,8,bottom-n,3,sG1IterDecon_00000681,0.6871905365275568,"sG1IterDecon_00000197,sG1IterDecon_00000007,sG1IterDecon_00000681",0.3387231366372703,1,2,293.8755703619773,293.57644691932785,1.0010188945529803,1113,2.124207547169812,0.011916174460431654,1.637,0.0,0.001946,0.0,inf,1,0
cpop,seismology,0,10.0,8,top-n,1,sG1IterDecon_00000054,0.9715394573779651,sG1IterDecon_00000054,2.8680823593556397,1,2,293.6301592888092,293.66364318611556,0.9998859787444468,1113,2.124207547169812,0.011916174460431654,0.561,0.0,0.003099,0.0,inf,1,0
cpop,seismology,0,10.0,8,top-n,2,sG1IterDecon_00001074,0.9758721826577486,"sG1IterDecon_00000054,sG1IterDecon_00001074",2.2708694675237098,1,2,293.6796838929753,293.66364318611556,1.0000546227196723,1113,2.124207547169812,0.011916174460431654,0.561,0.0,0.002712,0.0,inf,1,0
