scheduler_name,experiment_num,dag_type,num_tasks,ccr,levels,branching_factor,num_processors,mode,n,task_name,task_score,duplicated_tasks,target_benefit,dup_factor,makespan,baseline_makespan,makespan_ratio,task_cost,incoming_comm,outgoing_comm,in_out_ratio,out_in_ratio,num_children,num_parents
heft,0,branching,122,0.1,5,3,4,bottom-n,1,0,0.4256424370484002,0,0.0017549973044785894,2,23.881042840999683,23.881042840999683,1.0,0.16444565636320413,0.0,0.8797859985294199,0.0,inf,3,0
heft,0,branching,122,0.1,5,3,4,bottom-n,2,3,0.6998650989773111,"0,3",0.033175547619975765,2,23.881042840999683,23.881042840999683,1.0,0.24595943231037617,0.2515134216835418,1.7618671023885009,0.14275391222333056,7.005061958901383,3,1
heft,0,branching,122,0.1,5,3,4,bottom-n,3,4,0.6868688319441149,"0,3,4",0.019899182698381424,2,23.881042840999683,23.881042840999683,1.0,0.11005583474781411,0.34135021312224334,1.3978942843009097,0.24418886102889634,4.095190893583242,3,1
cpop,0,branching,122,0.1,5,3,4,top-n,1,115,0.8899102505353569,115,0.10310464854426016,2,24.556232605819318,24.659337253442814,0.9958188394698604,0.2876120000600106,0.3317997740566036,0.9207624901304452,0.3603532698313951,2.7750546025789853,1,1
cpop,0,branching,122,0.1,5,3,4,top-n,2,0,0.7343136299502238,"115,0",0.0017549973044785894,2,24.556232605819318,24.659337253442814,0.9958188394698604,0.16444565636320413,0.0,0.8797859985294199,0.0,inf,3,0
cpop,0,branching,122,0.1,5,3,4,bottom-n,1,0,0.4148456222967528,0,0.0017549973044785894,2,24.659337253442814,24.659337253442814,1.0,0.16444565636320413,0.0,0.8797859985294199,0.0,inf,3,0
cpop,0,branching,122,0.1,5,3,4,bottom-n,2,115,0.8899102505353569,"0,115",0.10310464854426016,2,24.556232605819318,24.659337253442814,0.9958188394698604,0.2876120000600106,0.3317997740566036,0.9207624901304452,0.3603532698313951,2.7750546025789853,1,1
cpop,0,branching,342,0.1,5,4,4,top-n,1,2,0.7954895666386503,2,0.10632593648763411,2,94.4862085818893,94.4862085818893,1.0,0.3331038867741323,0.49868728674549034,2.891941681274289,0.172440298493762,5.799108495721925,4,1
cpop,0,branching,342,0.1,5,4,4,bottom-n,1,2,0.7954895666386503,2,0.10632593648763411,2,94.4862085818893,94.4862085818893,1.0,0.3331038867741323,0.49868728674549034,2.891941681274289,0.172440298493762,5.799108495721925,4,1
heft,0,branching,8,0.1,3,2,8,top-n,1,0,0.7157279192614833,0,0.06381576744362638,2,2.0997774359636012,2.0997774359636012,1.0,0.5156895561716901,0.0,1.539896550820098,0.0,inf,2,0
heft,0,branching,8,0.1,3,2,8,bottom-n,1,0,0.7157279192614833,0,0.06381576744362638,2,2.0997774359636012,2.0997774359636012,1.0,0.5156895561716901,0.0,1.539896550820098,0.0,inf,2,0
cpop,0,branching,8,0.1,3,2,8,top-n,1,0,0.7200713086942501,0,0.10801065946220101,2,2.2231227499943493,2.2231227499943493,1.0,0.5156895561716901,0.0,1.539896550820098,0.0,inf,2,0
cpop,0,branching,8,0.1,3,2,8,bottom-n,1,0,0.7200713086942501,0,0.10801065946220101,2,2.2231227499943493,2.2231227499943493,1.0,0.5156895561716901,0.0,1.539896550820098,0.0,inf,2,0
heft,0,branching,14,0.1,3,3,8,top-n,1,0,0.7576389925124298,0,0.22447618698747185,3,3.438268404198221,3.4571901363797437,0.9945268465328503,0.4150991373459919,0.0,2.310967797232725,0.0,inf,3,0
heft,0,branching,14,0.1,3,3,8,bottom-n,1,0,0.7576389925124298,0,0.22447618698747185,3,3.438268404198221,3.4571901363797437,0.9945268465328503,0.4150991373459919,0.0,2.310967797232725,0.0,inf,3,0
cpop,0,branching,14,0.1,3,3,8,top-n,1,0,0.7537136031031428,0,0.16632914984743996,3,3.532461006555172,3.532461006555172,1.0,0.4150991373459919,0.0,2.310967797232725,0.0,inf,3,0
cpop,0,branching,14,0.1,3,3,8,bottom-n,1,0,0.7537136031031428,0,0.16632914984743996,3,3.532461006555172,3.532461006555172,1.0,0.4150991373459919,0.0,2.310967797232725,0.0,inf,3,0
cpop,0,branching,16,0.1,4,2,8,top-n,1,2,0.7718596818162158,2,0.04513756205421271,2,4.12470582499832,4.12470582499832,1.0,0.13014465477725187,0.7312194838339795,1.2445288874960687,0.5875472166059218,1.7019908727960456,2,1
cpop,0,branching,16,0.1,4,2,8,bottom-n,1,2,0.7718596818162158,2,0.04513756205421271,2,4.12470582499832,4.12470582499832,1.0,0.13014465477725187,0.7312194838339795,1.2445288874960687,0.5875472166059218,1.7019908727960456,2,1
heft,0,branching,41,0.1,4,3,8,top-n,1,2,0.737999147257089,2,0.13675999979496567,3,5.911558388894169,5.9430850675851135,0.9946952334801838,0.11640038869205177,0.30035952982331066,1.9277137129256285,0.15581127415826945,6.418020810125866,3,1
heft,0,branching,41,0.1,4,3,8,top-n,2,0,0.7668026795386074,"2,0",0.020820945595581675,3,5.908709782206294,5.9430850675851135,0.9942159190070643,0.45287860405936525,0.0,1.1066022991734448,0.0,inf,3,0
heft,0,branching,41,0.1,4,3,8,bottom-n,1,0,0.46623278966451875,0,0.020820945595581675,2,5.927486800480113,5.9430850675851135,0.997375392253751,0.45287860405936525,0.0,1.1066022991734448,0.0,inf,3,0
heft,0,branching,41,0.1,4,3,8,bottom-n,2,2,0.7378772004744449,"0,2",0.13675999979496567,3,5.908709782206294,5.9430850675851135,0.9942159190070643,0.11640038869205177,0.30035952982331066,1.9277137129256285,0.15581127415826945,6.418020810125866,3,1
cpop,0,branching,41,0.1,4,3,8,top-n,1,1,0.7681542042238957,1,0.039461536513888396,2,6.509279213546835,6.509279213546835,1.0,0.20312697748405195,0.4060543572951259,1.391711239320906,0.291766241316886,3.4274013178718112,3,1
cpop,0,branching,41,0.1,4,3,8,top-n,2,0,0.7580910544795247,"1,0",0.020820945595581675,2,6.509279213546835,6.509279213546835,1.0,0.45287860405936525,0.0,1.1066022991734448,0.0,inf,3,0
cpop,0,branching,41,0.1,4,3,8,bottom-n,1,0,0.5882319126077,0,0.020820945595581675,2,6.509279213546835,6.509279213546835,1.0,0.45287860405936525,0.0,1.1066022991734448,0.0,inf,3,0
cpop,0,branching,41,0.1,4,3,8,bottom-n,2,1,0.7681542042238957,"0,1",0.039461536513888396,2,6.509279213546835,6.509279213546835,1.0,0.20312697748405195,0.4060543572951259,1.391711239320906,0.291766241316886,3.4274013178718112,3,1
heft,0,branching,86,0.1,4,4,8,top-n,1,0,0.7668040814624275,0,0.2644844725815664,4,9.086050032778338,9.129792833171852,0.9952087849973353,0.11201773269097029,0.0,2.7012672917123477,0.0,inf,4,0
heft,0,branching,86,0.1,4,4,8,bottom-n,1,4,0.43664299073099216,4,0.043383312677919394,2,9.146231611698648,9.129792833171852,1.0018005642435903,0.18038030900617866,0.9485369462037109,2.75724458965245,0.34401625077566067,2.906839423269334,4,1
heft,0,branching,86,0.1,4,4,8,bottom-n,2,0,0.7803505486892517,"4,0",0.35660728424154275,5,9.043858429919387,9.129792833171852,0.9905874750037883,0.11201773269097029,0.0,2.7012672917123477,0.0,inf,4,0
cpop,0,branching,86,0.1,4,4,8,top-n,1,0,0.7668040814624275,0,0.2644844725815664,4,9.414298015092442,9.414298015092442,1.0,0.11201773269097029,0.0,2.7012672917123477,0.0,inf,4,0
cpop,0,branching,86,0.1,4,4,8,top-n,2,81,0.5974016483123449,"0,81",0.031057939378833055,4,9.38324007643193,9.414298015092442,0.9967009819945447,0.15206949110855011,0.6034788250582246,0.7183205632389893,0.8401246684865455,1.190299532331867,1,1
cpop,0,branching,86,0.1,4,4,8,top-n,3,4,0.5294115999558855,"0,81,4",0.1204376322395802,4,9.383240075713609,9.414298015092442,0.9967009819182436,0.18038030900617866,0.9485369462037109,2.75724458965245,0.34401625077566067,2.906839423269334,4,1
cpop,0,branching,86,0.1,4,4,8,bottom-n,1,1,0.4812585125346369,1,0.0221358509620756,2,9.414298015092442,9.414298015092442,1.0,0.35174505331191763,0.8050887142574411,2.289817304335224,0.35159517431071785,2.8441801056013998,4,1
cpop,0,branching,86,0.1,4,4,8,bottom-n,2,4,0.4941229528386949,"1,4",0.1204376322395802,2,9.345851237419312,9.414298015092442,0.992729486833389,0.18038030900617866,0.9485369462037109,2.75724458965245,0.34401625077566067,2.906839423269334,4,1
cpop,0,branching,86,0.1,4,4,8,bottom-n,3,0,0.7897920166966316,"1,4,0",0.4211422869610447,6,9.345851237419312,9.414298015092442,0.992729486833389,0.11201773269097029,0.0,2.7012672917123477,0.0,inf,4,0
heft,0,branching,32,0.1,5,2,8,top-n,1,0,0.7269614952865979,0,0.07567615898752411,2,6.441806049283592,6.437754208255666,1.0006293873448493,0.5241107654952751,0.0,1.467242916312288,0.0,inf,2,0
heft,0,branching,32,0.1,5,2,8,top-n,2,19,0.8922008744957448,"0,19",0.05247907488636372,2,6.38932697500566,6.437754208255666,0.9924776200390031,0.24666583535880043,0.10311934854333266,0.6084315000082291,0.16948390828209578,5.900265164617045,1,1
heft,0,branching,32,0.1,5,2,8,bottom-n,1,0,0.7269614952865979,0,0.07567615898752411,2,6.441806049283592,6.437754208255666,1.0006293873448493,0.5241107654952751,0.0,1.467242916312288,0.0,inf,2,0
heft,0,branching,32,0.1,5,2,8,bottom-n,2,19,0.8922008744957448,"0,19",0.05247907488636372,2,6.38932697500566,6.437754208255666,0.9924776200390031,0.24666583535880043,0.10311934854333266,0.6084315000082291,0.16948390828209578,5.900265164617045,1,1
cpop,0,branching,32,0.1,5,2,8,top-n,1,0,0.7269614953123082,0,0.07567615898752411,2,6.7814460264601495,6.7814460264601495,1.0,0.5241107654952751,0.0,1.467242916312288,0.0,inf,2,0
cpop,0,branching,32,0.1,5,2,8,bottom-n,1,0,0.7269614953123082,0,0.07567615898752411,2,6.7814460264601495,6.7814460264601495,1.0,0.5241107654952751,0.0,1.467242916312288,0.0,inf,2,0
heft,0,branching,122,0.1,5,3,8,top-n,1,0,0.74626066091952,0,0.1374417676888139,3,12.172188776299144,12.237409097357805,0.9946704142568265,0.43749291228175957,0.0,2.3316231562180962,0.0,inf,3,0
